variant,position,time,historical,decay,start,thresh,mid,steep,changed_from_default,n_seeds,val_ndcg_mean,val_ndcg_std,val_auc_mean,val_auc_std,epochs_run,best_epoch,timestamp
no_time,TRUE,FALSE,TRUE,3,2,0.1,0.5,6,"{""time"": false}",3,0.7952,0.0011,0.6482,0.004,"[23, 23, 29]","[18, 18, 24]",16:28.4
mid_0.2,TRUE,TRUE,TRUE,3,2,0.1,0.2,6,"{""mid"": 0.2}",3,0.7931,0.0006,0.6457,0.0027,"[21, 33, 22]","[16, 28, 17]",46:45.2
full,TRUE,TRUE,TRUE,3,2,0.1,0.5,6,{},3,0.793,0.0004,0.6426,0.0008,"[23, 33, 22]","[18, 28, 17]",17:52.6
thresh_0.2,TRUE,TRUE,TRUE,3,2,0.2,0.5,6,"{""thresh"": 0.2}",3,0.793,0.0005,0.6469,0.0031,"[24, 34, 20]","[19, 29, 12]",53:21.4
no_historical,TRUE,TRUE,FALSE,3,2,0.1,0.5,6,"{""historical"": false}",3,0.7929,0.0008,0.642,0.0019,"[23, 23, 30]","[18, 18, 25]",17:08.9
decay_5,TRUE,TRUE,TRUE,5,2,0.1,0.5,6,"{""decay"": 5.0}",3,0.7929,0.0003,0.6445,0.0015,"[23, 32, 22]","[18, 27, 17]",45:05.3
steep_9,TRUE,TRUE,TRUE,3,2,0.1,0.5,9,"{""steep"": 9.0}",3,0.7928,0.0004,0.6444,0.0027,"[21, 34, 31]","[16, 29, 26]",45:49.7
mid_0.7,TRUE,TRUE,TRUE,3,2,0.1,0.7,6,"{""mid"": 0.7}",3,0.7928,0.0011,0.6413,0.0032,"[23, 23, 22]","[18, 18, 17]",40:42.8
no_position,FALSE,TRUE,TRUE,3,2,0.1,0.5,6,"{""position"": false}",3,0.7925,0.0009,0.642,0.0027,"[23, 23, 22]","[18, 18, 17]",13:53.6
thresh_0.05,TRUE,TRUE,TRUE,3,2,0.05,0.5,6,"{""thresh"": 0.05}",3,0.7925,0.0002,0.6447,0.003,"[21, 34, 22]","[16, 29, 17]",45:01.9
steep_3,TRUE,TRUE,TRUE,3,2,0.1,0.5,3,"{""steep"": 3.0}",3,0.7925,0.0012,0.643,0.0048,"[26, 20, 21]","[21, 14, 16]",34:07.3
mid_0.37,TRUE,TRUE,TRUE,3,2,0.1,0.37,6,"{""mid"": 0.37}",3,0.7923,0.001,0.6427,0.004,"[21, 23, 22]","[16, 18, 17]",41:13.3
decay_1,TRUE,TRUE,TRUE,1,2,0.1,0.5,6,"{""decay"": 1.0}",3,0.7921,0.0006,0.6436,0.0043,"[24, 20, 22]","[19, 13, 17]",39:20.3
start_4,TRUE,TRUE,TRUE,3,4,0.1,0.5,6,"{""start"": 4}",3,0.7892,0.0013,0.6382,0.0054,"[21, 23, 20]","[16, 18, 12]",35:38.1
start_6,TRUE,TRUE,TRUE,3,6,0.1,0.5,6,"{""start"": 6}",3,0.786,0.0009,0.6292,0.0025,"[23, 27, 26]","[18, 22, 21]",44:26.9
